,title,year,duration,genres,rating,synopsis,directors,stars
0,Lamborghini: The Man Behind the Legend,2022.0,97,"Biography, Drama, Sport",5.3,"The life story of Ferruccio Lamborghini, the founder of Lamborghini.",Bobby Moresco,"Frank Grillo,Mira Sorvino,Gabriel Byrne,Eliana Jones"
1,The Cheerleader Sleepover Slaughter,2022.0,62,Horror,4.1,"When a wannabe cheerleader hosts the annual squad sleepover, the head cheerleader concocts a sinister plan for the night and things go very wrong.",Christopher Leto,"Taylor Herd,Indica Jane,Sydney Spaulding,Aja Toombs"
2,Kesisme: Iyi ki Varsin Eren,2022.0,98,"Action, Drama",7.3,"A true intersection story of a teenage boy lives in Black Sea hills whose life is full of struggle, a heroic soldier Ferhat and an uninvited visitor from back of beyond.",Özer Feyzioglu,"Azer Selte,Rahman Besel,Murat Deniz,Ismail Hacioglu"
3,Lasciarsi un giorno a Roma,2022.0,112,"Comedy, Romance",6.5,A romantic comedy about how hard it is to separate after many years of living together.,Edoardo Leo,"Edoardo Leo,Marta Nieto,Claudia Gerini,Stefano Fresi"
4,Deadly Cheers,2022.0,86,Thriller,4.8,"Julie, who just moved to a new town, joins the high school cheer team under Coach Allison, who will do everything to cover up a mysterious accident that one of the cheerleaders suffered, even if it means sacrificing her own cheerleaders.",Jessica Janos,"Justin Berti,Macy Minear,Kym Wilson,Shannon Skiles"
5,Fatal Memory,2022.0,85,"Drama, Romance, Thriller",5.4,"After a violent car accident robs Grace of her memory, a handsome stranger enters her life, insisting that they are lovers. As her memory returns bit by bit, the stranger's story unravels. ...",Gigi Gaston,"Kate Watson,Anna Marie Dobbins,Houston Rhines,Emary Simon"
6,Blur,2022.0,100,"Horror, Thriller",7.8,A woman is trapped inside her apartment by an ancient demon as a policeman is in a race against time to save her.,Andrew Miles Broughton,"Abigail Bianca,Kasia Stelmach,Peter McAllum,Matthew R. Grego"
7,Aasha Encounter,2022.0,83,"Crime, Thriller",6.7,Disha gang assault and killing on 27 November 2019 shocked the entire country when 4 young guys in a Lorry targeted a Scooty driving young veterinary doctor and brutalized her crossing the upper limits in the crime history of India,"Anand Chandra,Ram Gopal Varma","Sonia Akula,Sreedhar Rao Chennamaneni,Srikanth Iyengar,Praveen Raj"
8,Me contro Te - Il film: Persi nel tempo,2022.0,60,"Comedy, Family",2.8,,Gianluca Leuzzi,"Luigi Bignone,Giustina Buonuomo,Luigi Calagna,Antonella Carone"
9,Induvadana,2022.0,125,Romance,6.0,"A forest officer who falls in love with a tribal girl named Indu(Farzana Shetty). As time passes by, even Indu okays Vasu's love.",M. Srinivasa Raju,"Md Ariful Islam,Varun Sandesh,Farnaz Shetty"
